2,13,41,90,249,572,922,1211,1856,2969,4653,8079,15220,30610,53370,57171,47464,32824,20714,12273,6190,3235,3026,6878,21998,589970,2525,4144,8956,21710,38583,51266,53923,49676,36723,20501,8606,2999,811,146,14,2,0,0,3,21,142,783,3500,12509,33082,570975,143573,65062,34696,20230,13424,9360,6182,3772,2180,1149,542,283,106,61,91,246,480,1060,2044,3393,5524,6853,10387,15419,22481,553002
2,14,29,70,156,341,626,1056,1864,3136,5120,8820,15646,25870,40574,52079,51754,37034,21789,13701,7312,4175,3824,8061,24651,593896,1918,2894,6086,13507,33094,51604,57022,53323,38810,21974,9185,3203,783,153,23,1,0,0,4,22,131,724,3331,11924,34789,577095,126702,65892,37234,22840,15320,10668,6935,4101,2082,1034,449,217,79,44,84,237,479,1013,2040,3256,5315,7128,10754,16307,23855,557535
7,21,51,156,350,673,1180,1678,2335,3456,5114,7965,14120,26522,50426,59635,48066,32098,20012,11074,4481,2238,1952,4616,14550,608824,1581,2771,7590,20344,33901,49219,58391,54404,37298,17396,6559,2163,496,86,9,1,0,0,0,10,81,414,2134,8410,23334,595008,135152,68242,38253,20093,12236,7951,5059,2768,1347,647,291,111,44,25,62,171,378,734,1400,2369,3750,4789,7266,10618,14763,583081
0,17,86,220,578,1156,1969,3120,4473,6875,9976,14604,22533,31786,49611,68047,58468,38294,19510,8887,3633,1749,1625,4124,13770,556489,2694,4995,10105,29522,59437,67980,63478,50988,33942,15162,5508,1850,457,90,11,1,0,0,0,23,93,442,1898,7113,19893,545918,179549,79804,38491,19935,11882,7337,4542,2584,1207,477,249,105,52,23,49,162,325,731,1309,2012,3085,3907,6122,9487,13687,534487
1,8,68,228,555,974,1446,2145,2955,4079,5761,9069,13981,26003,47207,66028,65213,49689,27823,11722,4411,2059,1940,4933,16006,557296,2186,3593,7124,18378,38787,69548,75811,61471,38924,17019,6517,2123,516,88,11,1,0,0,1,14,106,473,2219,8475,24143,544072,163736,87673,39135,20488,12572,8210,5000,2820,1404,592,274,123,58,32,57,160,359,881,1545,2391,3706,4862,7269,10878,16212,531163
11,90,342,707,1225,1714,2618,5308,5633,7936,11196,17219,30899,55688,71435,56776,27686,12363,4357,1582,629,276,490,1891,7853,595676,7675,14122,37841,64154,63410,49408,33338,23978,13443,5567,1973,592,136,35,4,0,0,0,3,16,62,274,1202,4547,11887,587933,194161,64048,25046,12157,7246,5206,4588,1908,887,302,92,27,5,7,20,58,152,368,685,959,1534,1992,3163,5633,8845,582511
0,63,238,480,965,2285,4155,6126,7998,12174,21780,32666,48880,73668,58702,35537,15411,7335,2620,884,273,90,136,822,4512,583800,11365,28785,42742,73618,70162,43926,30800,18778,8367,2716,778,230,52,5,0,0,0,0,0,0,2,32,233,1047,4718,583244,240090,61360,14705,5026,3938,3361,2111,1055,476,151,46,2,2,1,3,16,14,30,65,104,245,439,942,2315,4810,580293
1,83,319,583,981,1509,2269,4465,6075,7097,10138,17090,31347,53621,72306,62429,32165,10270,2745,738,221,80,262,1258,5444,598104,6267,12291,36149,67951,67031,46226,34168,23633,14731,5722,1744,479,90,15,4,0,0,0,0,7,19,128,703,2820,8428,592994,201026,64719,23040,10127,5674,4195,4306,2105,936,279,72,12,9,3,15,47,99,207,435,566,856,1139,1980,3933,6622,589198
5,115,458,972,2556,5880,7743,7202,7736,9620,11963,16037,26367,35113,39414,34639,22281,11218,4704,1596,596,290,554,1876,7087,665578,7828,19014,27199,44278,44051,36710,27365,19781,12180,5309,1946,612,144,24,3,2,0,0,0,7,39,272,1193,4303,11059,658281,154866,45204,19284,10152,6702,4528,2895,1590,719,298,126,49,26,11,10,44,111,281,699,1187,1680,1971,2889,4780,8216,653282
5,62,288,599,1121,1811,3245,6635,11089,14205,17168,20557,25618,30437,37099,42663,38214,23177,10846,4266,1441,610,917,2843,9454,617230,6349,15078,37717,54340,43090,40744,36578,28605,16555,7872,3003,912,208,38,2,0,0,0,0,13,82,320,1437,5566,14764,608327,178688,53104,24924,13330,8070,5392,3674,2175,1115,399,149,46,21,12,29,69,178,418,805,1320,2172,2708,4262,6738,10324,601478
0,6,32,113,634,1695,2784,3226,4432,6553,10208,18707,35275,75752,149379,197626,182126,129109,83853,47060,21459,10212,8182,16567,52644,1015966,3611,8847,19517,55950,133219,196419,196923,161462,118264,58904,21177,7186,1758,352,54,1,0,0,4,35,303,1681,7438,26776,74378,979341,421053,266784,139554,64826,36123,22945,14786,8624,4529,2349,1277,534,213,108,164,477,993,2051,4116,6992,11520,15318,23521,35062,52162,937519
5,58,237,668,1846,3553,6324,8768,11436,15223,21992,41245,96657,150821,198527,185918,121850,67468,32359,11143,4801,2007,1654,5055,20551,1063434,5267,20510,38901,98952,193643,196501,138593,107894,95670,64298,16016,5518,1361,234,33,0,0,0,1,4,62,447,2015,8538,28405,1050737,632139,200644,77286,31604,17112,10800,7062,3972,1712,659,256,103,44,41,90,242,440,833,1567,2263,3628,4896,7716,13366,21714,1033411
9,77,329,844,1888,3056,4263,4730,5166,6971,11169,17502,38265,84812,139866,182120,155869,99368,54332,25630,9494,4267,4283,12620,49851,1156819,4965,12295,25101,75437,152479,164800,139378,114589,92077,45785,16391,5746,1495,288,45,1,0,0,0,15,128,791,4078,17249,59544,1140923,391527,235284,113930,47016,24683,16066,10364,6134,3273,1457,696,314,105,41,110,242,570,1206,2502,4254,7232,10031,16214,27507,48217,1104625
